,index,Wine Type,Country,Final Price,Grape Variety,Rating Score,Wine Name,alcohol_percent,food_pairing
0,32,Dessert,Australia,19.99,Port,92,Yalumba Antique Reserve Tawny Port ,19%,Chocolate and Caramel
1,39,Dessert,Portugal,29.99,Port,93,Taylor Fladgate 10 Year Old Tawny,20%,Chocolate and Caramel
2,42,Dessert,Australia,18.99,Other Dessert,94,Yalumba Museum Reserve Muscat ,18%,Chilis and Hot Spicy Foods
3,45,Dessert,Portugal,51.99,Port,95,Taylor Fladgate 20 Year Old Tawny,19-20%,Chocolate and Caramel
4,49,Dessert,Portugal,17.99,Port,91,Quinta do Noval Noval Black,19-20%,Chocolate and Caramel
5,55,Dessert,Portugal,16.99,Port,90,Warre's Warrior Port,20%,Chocolate and Caramel
6,59,Dessert,France,24.99,Other Dessert,97,Chateau Doisy Vedrines Sauternes ,13-14%,Blue Cheeses
7,65,Dessert,USA,12.99,Port,93,Terra d'Oro Zinfandel Port ,19%,Chocolate and Caramel
8,68,Dessert,France,59.99,Other Dessert,96,Chateau Rieussec Sauternes,12-14%,Blue Cheeses
9,71,Dessert,Portugal,12.99,Port,90,Croft Fine Ruby,20%,Chocolate and Caramel
10,78,Dessert,Portugal,19.99,Port,90,Fonseca Bin No. 27 Port,20%,Chocolate and Caramel
11,84,Dessert,Portugal,18.99,Port,90,Fonseca Bin No. 27 Port Limited Edition Artist Series,20%,Chocolate and Caramel
12,87,Dessert,Portugal,22.99,Port,93,Fonseca Late Bottled Vintage,20%,Chocolate and Caramel
13,2355,Red,France,39.99,Pinot Noir,91,Bouchard Pere & Fils Beaune de Chateau Premier Cru Rouge,12-13%,"Duck, Goose and Game Birds"
14,2364,Red,Argentina,14.99,Cabernet Sauvignon,95,Antucura Cabernet Sauvignon,14-15%,Beef and Venison
15,2365,Red,Australia,32.99,Syrah/Shiraz,96,John Duval Entity Shiraz,14%,Beef and Venison
16,2366,Red,Chile,13.99,Syrah/Shiraz,93,Falernia Syrah Reserva,14%,Lamb
17,2367,Red,Italy,17.99,Other Red Blends,95,Brancaia Tre,13-14%,Beef and Venison
18,2368,Red,Italy,28.99,Sangiovese,95,Fattorie Melini Chianti Classico Riserva La Selvanella,13-14%,Lamb
19,2369,Red,Italy,28.99,Sangiovese,93,Querciabella Chianti Classico,13-14%,Lamb
20,2376,Red,New Zealand,38.99,Pinot Noir,96,Greywacke Pinot Noir Marlborough,13-14%,Meaty and Oily Fish
21,2382,Red,Spain,25.99,Tempranillo,93,Bodegas Muga Reserva,13-14%,Lamb
22,2383,Red,Spain,16.99,Tempranillo,93,Bodegas Muga Reserva ,13-14%,Lamb
23,2385,Red,Spain,16.99,Tempranillo,95,Bodegas Muriel Reserva,13-14%,Lamb
24,2386,Red,Spain,14.99,Tempranillo,90,Cune Crianza,12-14%,Lamb
25,2387,Red,Spain,27.99,Tempranillo,93,Finca Allende,13-14%,Lamb
26,2396,Red,USA,59.99,Cabernet Sauvignon,95,Trinchero Cloud's Nest Vineyard Cabernet Sauvignon,14-15%,Beef and Venison
27,2397,Red,USA,23.99,Other Red Blends,93,Sean Thackrey Pleiades XXIII Old Vines Red Blend,13-15%,Lamb
28,2404,Red,USA,9.99,Other Red Wine,90,J. Lohr Wildflower Valdiguie,12-13%,Lamb
29,2411,Red,USA,24.99,Pinot Noir,92,Hahn Estates Santa Lucia Highlands Pinot Noir,14-15%,Chicken and Turkey
30,2412,Red,Australia,33.99,Cabernet Sauvignon,95,Heartland Director's Cut Cabernet Sauvignon,14-15%,Beef and Venison
31,2418,Red,Australia,21.99,Other Red Blends,93,Pepperjack Barossa Red Blend,14%,Beef and Venison
32,2425,Red,Australia,39.99,Rhone Red Blends,94,Torbreck The Steading,14-15%,Beef and Venison
33,2434,Red,Australia,25.99,Syrah/Shiraz,93,Elderton Shiraz,14%,Beef and Venison
34,2440,Red,Australia,29.99,Syrah/Shiraz,93,Two Hands Gnarly Dudes Shiraz,13-15%,Beef and Venison
35,2447,Red,Australia,19.99,Syrah/Shiraz,94,Yalumba Barossa Patchwork Shiraz,13-14%,Beef and Venison
36,2454,Red,Australia,15.99,Syrah/Shiraz,92,Yalumba The Guardian Shiraz Viognier,13-14%,Beef and Venison
37,2457,Red,Australia,12.99,Cabernet Sauvignon,91,Jacob's Creek Reserve Cabernet Sauvignon,13-14%,Beef and Venison
38,2458,Red,Australia,19.99,Cabernet Sauvignon,92,Penley Estate Phoenix Cabernet Sauvignon,14-15%,Beef and Venison
